"","title","subtitle","author_name","author_about","publisher","publisher_date","publisher_year","format","page_count","language","isbn_10","isbn_13","category","sub_category","average_rating","rating_number","price","features_text","dimensions","item_weight","weight_grams"
"1","Emily, Alone: A Novel","Hardcover – Bargain Price, March 17, 2011","Stewart O'Nan","Stewart O’Nan’s award-winning fiction includes Snow Angels, A Prayer for the Dying, Last Night at the Lobster, and Emily, Alone. Granta named him one of America’s Best Young Novelists. He lives in Pittsburgh. www.stewart-onan.com","Viking Adult","March 17, 2011",2011,"Hardcover",272,"English","","","Literature & Fiction","United States",3.9,409,56.2,"From the author of | Last Night at the Lobster | , a moving vision of love and family. | A sequel to the bestselling, much-beloved | Wish You Were Here | , Stewart O'Nan's intimate new novel follows Emily Maxwell, a widow whose grown children have long moved away. She dreams of vists by her grandchildren while mourning the turnover of her quiet Pittsburgh neighborhood, but when her sole companion and sister-in-law Arlene faints at their favorite breakfast buffet, Emily's days change. As she grapples with her new independence, she discovers a hidden strength and realizes that life always offers new possibilities. Like most older women, Emily is a familiar yet invisible figure, one rarely portrayed so honestly. Her mingled feelings-of pride and regret, joy and sorrow- are gracefully rendered in wholly unexpected ways. Once again making the ordinary and overlooked not merely visible but vital to understanding our own lives, | Emily, Alone | confirms O'Nan as an American master.","6.36 x 1.06 x 9.33 inches","9.6 ounces",272.2
"2","Leadership: Enhancing the Lessons of Experience","8th Edition","Gordon J. Curphy","Discover more of the author’s books, see similar authors, read author blogs and more","McGraw Hill","8th edition (February 3, 2014",2014,"Hardcover",752,"English","0077862406","978-0077862404","Business & Money","Business Culture",4.5,211,9.87,"NOTE: Access Code is NOT INCLUDED | Leadership: Enhancing the Lessons of Experience | , 8e | consists of 16 chapters, four of which cover specific leadership skills and qualities covered in each of the book's four sections. Hughes, Ginnett, and Curphy draw upon three different types of literature - empirical studies; interesting anecdotes, stories and findings; and leadership skills - to create a text that is personally relevant, interesting, and scholarly. The authors' unique quest for a careful balancing act of leadership materials helps students apply theory and research to their real - life experiences. The Eighth Edition has been thoroughly updated in virtually every chapter.","8 x 1.25 x 9.5 inches","2.8 pounds",1270.1
"3","Leadership and Management for Nurses: Core Competencies for Quality Care","3rd Edition","Anita Ward Finkelman","Discover more of the author’s books, see similar authors, read author blogs and more","Pearson","3rd edition (October 9, 2015",2015,"Paperback",528,"English","9780134056982","978-0134056982","New, Used & Rental Textbooks","Medicine & Health Sciences",4.5,265,32,"Leadership and Management for Nurses: Core Competencies for Quality Care | is designed for all courses in leadership or management in nursing. It also serves as a refresher for topics and issues previously covered in nursing school, while also addressing issues that nurses will face in their new professional practice. This book is an excellent resource for professionals in the nursing field and is also a perfect fit for an RN-to-BSN Leadership and Management course. | Leadership and Management for Nurses | offers a current perspective on leadership and management in nursing, and gives nurses a thorough understanding of what it takes to lead in delivering quality health care. Reflecting the Institute of Medicine’s influential framework, the book emphasizes five core competencies: providing patient-centered care; working in interdisciplinary teams; employing evidence-based practice; applying quality improvement; and utilizing informatics. Two entirely new chapters examine critical issues in healthcare delivery today. Expanded end-of-chapter | Applying Leadership and Management | features encourage students to think like nurses as they hone their clinical-reasoning skills, apply competencies, and engage with the content.","8.5 x 0.9 x 10.9 inches","2.87 pounds",1301.8
"4","I Know a Shy Fellow Who Swallowed a Cello","Hardcover – Picture Book, April 1, 2004","John O'Brien","Discover more of the author’s books, see similar authors, read author blogs and more","Astra Young Readers","April 1, 2004",2004,"Hardcover",32,"English","1590780434","978-1590780435","Children's Books","Arts, Music & Photography",4.8,357,17.99,"Perfect for any young reader interested in music, families who love music, and a must-have staple for music classrooms, this funny picture book is an amusing introduction to the instruments in an orchestra, featuring clever rhymes and whimsical illustrations. | Meet a shy fellow! He’s hard to notice, but he’s right at the side of the room listening to a duet for cello and viola. But look again -- our shy fellow suddenly has an urge to swallow a HUGE cello, which is precisely what he does. And he doesn't stop there! He also swallows a harp, a saxophone, and a fiddle while trying to satisfy his voracious appetite for musical instruments. But when he swallows a teensy, tiny, little bitty bell, you won’t believe what happens! In this take-off on a classic children’s song, kids will laugh out loud and learn all about musical instruments with this story that’s a melodious mix of fun and frivolity.","9.31 x 0.33 x 9.31 inches","12.4 ounces",351.5
"5","Something's Eating the Garden","Hardcover – December 8, 2018","Pam Fries","Pam Fries, the author, and illustrator of ""Something's Eating the Garden"" is a mother and grandmother. She chose the field of Primary Education in college, then went on to teach preschool and was a substitute teacher in grades Kindergarten through Middle School. After having children, she decided to homeschool her own children which she did for many years. She sadly lost her husband of 36 years just before the book about her husband and granddaughter came out. She loves to spend her time with her family and animals (she is a crazy chicken and quail lady!). She keeps very busy. In her spare time, she speaks at schools and is an inspirational speaker for women's groups. Her message is ""You are special. There is a special purpose for your life"". She also illustrates books for others and paints animal portraits.","Mighty Lion Press","December 8, 2018",2018,"Hardcover",34,"English","1732980306","978-1732980303","Children's Books","Action & Adventure",4.7,209,18.03,"This is a darling children's book that was authored and illustrated by Pam Fries, captures the readers attention and gives a surprise at the end. Follow along a journey through Papa's garden and try to solve the mystery of ""What is eating the garden"". Could it be a bunny, a frog or even an elephant? The reveal of what is eating the garden is fun for adults as well as children. The full illustrations are bright and colorful and make the reading even more fun.","8.5 x 0.25 x 11 inches","14.6 ounces",413.9
"6","Royal Airs (Elemental Blessings)","","Sharon Shinn","Sharon Shinn is a journalist who works for a trade magazine. Her first novel, The Shapechanger's Wife, was selected by Locus as the best first fantasy novel of 1995. She has won the William C. Crawford Award for Outstanding New Fantasy Writer, and was twice nominated for the John W. Campbell Award for Best New Writer. A graduate of Northwestern University, she has lived in the Midwest most of her life.","Ace","November 5, 2013",2013,"Hardcover",400,"English","0425261719","978-0425261712","Science Fiction & Fantasy","Fantasy",4.4,657,59.8,"Master storyteller Sharon Shinn created the thrilling and enchanting world of Welce in her acclaimed novel | Troubled Waters | . Return with her to that elemental universe in this tale of secrecy, romance, and a battle for power… | Josetta is a princess of one of the Five Families. But she is far from the throne, so she is free to spend her days working in the poorest sections of the city. Rafe Adova, an outcast since he was born, lives the life of a career gambler in those slums. He has no ambition other than cheating at the card tables—until the night he decides to help a girl named Corene, who looks like she’s stumbled into the wrong bar. She, too, is a princess—sister to Josetta, who finds her with Rafe. He fascinates her. Josetta has never encountered anyone like him—someone seemingly devoid of elemental blessings. He is drawn to her, though he thinks they are unlikely to ever meet again—but their connection grows strong when she nurses him back to health after he is assaulted by foreign mercenaries. And when they learn the reason he’s being hunted, they know that the truth about his history could endanger not only their love but also their very lives…","6.38 x 1.3 x 9.25 inches","1.4 pounds",635
"7","Imaginary Friend","Paperback – October 6, 2020","Stephen Chbosky","Stephen Chbosky (/ʃəˈbɒski/; born January 25, 1970) is an American novelist, screenwriter, and film director best known for writing the New York Times bestselling coming-of-age novel The Perks of Being a Wallflower (1999), as well as for screenwriting and directing the film version of the same book, starring Logan Lerman, Emma Watson, and Ezra Miller. He also wrote the screenplay for the 2005 film Rent, and was co-creator, executive producer, and writer of the CBS television series Jericho, which began airing in 2006. Bio from Wikipedia, the free encyclopedia. Photo by Lawrence Truett, aka Ltruett at en.wikipedia derivative work: RanZag [CC BY-SA 2.0 (http://creativecommons.org/licenses/by-sa/2.0)], via Wikimedia Commons.","Grand Central Publishing","Reprint edition (October 6, 2020",2020,"Paperback",736,"English","1538731355","978-1538731352","Literature & Fiction","Genre Fiction",4.1,4321,11.25,"A young boy is haunted by a voice in his head in this acclaimed, bestselling epic of literary horror from the author of | The Perks of Being a Wallflower | . | O | ne of The Year's Best Books ( | People, EW, Lithub, Vox, Washington Post, | and more) | We can swallow our fear or let our fear swallow us. | Single mother Kate Reese is on the run. Determined to improve life for her and her son, Christopher, she flees an abusive relationship in the middle of the night with her child. Together, they find themselves drawn to the tight-knit community of Mill Grove, Pennsylvania. It's as far off the beaten track as they can get. Just one highway in, one highway out. At first, it seems like the perfect place to finally settle down. Then Christopher vanishes. For six long days, no one can find him. Until Christopher emerges from the woods at the edge of town, unharmed but not unchanged. He returns with a voice in his head only he can hear, with a mission only he can complete: Build a treehouse in the woods by Christmas, or his mother and everyone in the town will never be the same again. Twenty years ago, Stephen Chbosky's | The Perks of Being a Wallflower | made readers everywhere feel infinite. Now, Chbosky has returned with an epic work of literary horror, years in the making, whose grand scale and rich emotion redefine the genre. Read it with the lights on.","5.25 x 1.15 x 8 inches","1.25 pounds",567
"8","God's Undertaker: Has Science Buried God?","Paperback – August 3, 2009","John C. Lennox","John Carson Lennox (born 7 November 1943) is a Northern Irish mathematician, philosopher of science, Christian apologist, and Professor of Mathematics[2] at the University of Oxford. He is a Fellow in Mathematics and Philosophy of Science at Green Templeton College, Oxford University. He is also Pastoral Advisor of Green Templeton College and Fellow of Wycliffe Hall. Bio from Wikipedia, the free encyclopedia. Photo by Christliches Medienmagazin pro (John Lennox) [CC BY 2.0 (http://creativecommons.org/licenses/by/2.0)], via Wikimedia Commons.","Lion Books","",NA,"",NA,"English","0825479126","978-0825479120","Religion & Spirituality","Religious Studies",4.8,953,14.99,"If we are to believe many modern commentators, science has squeezed God into a corner, killedand then buried him with its all-embracing explanations. Atheism, we are told, is the only intellectually tenable position, and any attempt to reintroduce God is likely to impede the progress of science. In this stimulating and thought-provoking book, John Lennox invites us to consider such claims very carefully. | Is it really true, he asks, that everything in science points towards atheism? Could it be possible that theism sits more comfortably with science than atheism? Has science buried God or not? Now updated and expanded, | God's Undertaker | is an invaluable contribution to the debate about science's relationship to religion. | ""As an agnostic in the true sense of the word as 'not knowing,' I found John Lennox's book intriguing and much food for thought… This is a well written and though-provoking book and will contribute to a reasoned discussion on a fundamental question."" Alan Emery, Emeritus Professor of Human Genetics, University of Edinburgh | ""This short book is more than just a critical analysis of the deep question posed in its title. It is a scientific detective story, which keeps the reader on their toes as the evidence is put in place bit by bit."" Keith Frayn, Professor of Human Metabolism, University of Oxford | ""A brilliantly argued re-evaluation of the relation of science and religion, casting welcome new light on today's major debates. A must-read for all reflecting on the greatest questions of life."" Alister McGrath, Professor of Theology, Ministry and Education, King's College, London","","",NA
"9","Birthday Pie Burial (The Drunken Pie Cafe Cozy Mystery)","Paperback – May 2, 2019","Diana DuMont","Diana DuMont is the author of the Drunken Pie Café series of cozy mysteries. Diana lives and writes in Northern California. When she’s not reading or dreaming up her latest mystery plot, she can usually be found hiking in the nearby redwood forests. Happy reading, and happy sleuthing!","Independently published","May 2, 2019",2019,"Paperback",148,"English","1096196417","978-1096196419","Mystery, Thriller & Suspense","Mystery",4.5,215,5.01,"Birthday pie has never tasted so deadly… | Amateur sleuth Isabelle “Izzy” James proudly serves her famous boozy pies at the hundredth birthday party of Sunshine Springs’ oldest citizen. But the celebration ends with a bang when the guest of honor himself is shot dead.At first, everyone thinks it’s obvious who killed him. | But what if everyone is wrong? | Izzy has a hunch that there’s more to this murder than meets the eye, and she’s determined to get to the bottom of things. With her trusty Dalmatian Sprinkles at her side, she chases down clues. But the more clues she unravels, the more she’s worried that the true killer is getting away with murder. | And she’s not going to let that happen on her watch. | You will love this cozy mystery, because it features unexpected twists and a town full of interesting characters! | Read it today!","6 x 0.37 x 9 inches","1.01 pounds",458.1
"10","Wild Rescuers: Sentinels in the Deep Ocean (Wild Rescuers, 4)","","StacyPlays","Discover more of the author’s books, see similar authors, read author blogs and more","HarperCollins","Reprint edition (May 17, 2022",2022,"Paperback",224,"English","0062960784","978-0062960788","Children's Books","Animals",4.9,955,9.99,"From StacyPlays, the YouTube sensation with over 2 million subscribers, comes the exhilarating fourth and final book in her Minecraft-inspired adventure series about a girl raised by wolves. | After barely surviving the harsh tundra biome, Stacy has finally discovered the origins of the intelligent, playful wolves who’ve raised her. But will Stacy be able to decode a mysterious diary that may hold the keys to her future in the taiga? | As she races against time to uncover the secrets buried within the diary’s pages, Stacy and her pack set out on a new thrilling adventure across biomes. Will they beat the clock and make it to the farthest reaches of their world: the deep ocean? As they dive deeper into the unknown, Stacy and the wolves learn that the deep ocean may hold the biggest secret yet. Stacy's wolves might not be as alone in this world as they once thought. | Fans of | Minecraft: The Crash | and | PopularMMOs Presents: A Hole New World | will love this thrilling conclusion to the illustrated, action-packed series!","5.12 x 0.45 x 7.62 inches","5.1 ounces",144.6
